advertiser_id,product_id,date
1OW4LWJSBJK6E1D9FDH7,na0hex,2023-04-05
OY5LNPB5A8FF43ITRZG3,t1tcdt,2023-04-05
LW045DVYSGRD75TK6U54,wvhekb,2023-04-05
IOBPI63RBJIHI5FB7U9O,xn84j6,2023-04-05
KD9PHCBGYFBRI9ET1O9R,ha1vjq,2023-04-05
5E325T5HYL61QSABVR5V,fl8hqp,2023-04-05
L6WM4665XZVS9MCZRTVI,fxqrs4,2023-04-05
6X20RDH567MX2X3TXYJ7,bsb9kx,2023-04-05
KD9PHCBGYFBRI9ET1O9R,fjizpy,2023-04-05
AK81O7W3KGPEN8LABG2N,mo4hgf,2023-04-05
2WPF1NXECF3G6NUMWDO7,a4n5iz,2023-04-05
LTRZRCI4M19WYVL6Q6L5,nhlqaj,2023-04-05
LTRZRCI4M19WYVL6Q6L5,b0owqt,2023-04-05
KD9PHCBGYFBRI9ET1O9R,eqylff,2023-04-05
K6Z0X85ZUY0TSF4RCG5J,orw3de,2023-04-05
KD9PHCBGYFBRI9ET1O9R,y51eik,2023-04-05
IOBPI63RBJIHI5FB7U9O,i4761w,2023-04-05
SOVPFK3BBWKTQM9HOHWJ,eq3hhg,2023-04-05
EN1SA43DTN2LIR8DEW5S,x2jmss,2023-04-05
AK81O7W3KGPEN8LABG2N,unap94,2023-04-05
1OW4LWJSBJK6E1D9FDH7,7ls5ld,2023-04-05
5E325T5HYL61QSABVR5V,j5fuqz,2023-04-05
5E325T5HYL61QSABVR5V,2b5ax3,2023-04-05
SOVPFK3BBWKTQM9HOHWJ,gt2ssx,2023-04-05
OY5LNPB5A8FF43ITRZG3,42e4mn,2023-04-05
L6WM4665XZVS9MCZRTVI,jgctyz,2023-04-05
P41C5HK4P2G5GFRMT6ZA,en61nh,2023-04-05
LW045DVYSGRD75TK6U54,cdbufu,2023-04-05
LW045DVYSGRD75TK6U54,utc68c,2023-04-05
OY5LNPB5A8FF43ITRZG3,q07mud,2023-04-05
K6Z0X85ZUY0TSF4RCG5J,zjdfh2,2023-04-05
P41C5HK4P2G5GFRMT6ZA,en61nh,2023-04-05
8C88YB6E8YCGWU07HA7A,993a1p,2023-04-05
M0LU6DCI1WILGQBZ6808,m6xcbe,2023-04-05
03KNVBO915KY2ZPGA57J,mbk4kq,2023-04-05
KD9PHCBGYFBRI9ET1O9R,1iv0jz,2023-04-05
OAGTYWN8WFC997VLDJH7,om0m80,2023-04-05
HC26ZE93SA4WWA0BRFM6,a4aa7k,2023-04-05
K6Z0X85ZUY0TSF4RCG5J,k6skrc,2023-04-05
Y0W3K7OV6ZLILW96OO3K,aahzbo,2023-04-05
KD9PHCBGYFBRI9ET1O9R,7ezdmc,2023-04-05
SOVPFK3BBWKTQM9HOHWJ,ao8eh6,2023-04-05
P41C5HK4P2G5GFRMT6ZA,is543w,2023-04-05
Y0W3K7OV6ZLILW96OO3K,974i1h,2023-04-05
SOVPFK3BBWKTQM9HOHWJ,oqz9l9,2023-04-05
M0LU6DCI1WILGQBZ6808,1vj1t1,2023-04-05
AK81O7W3KGPEN8LABG2N,7upl45,2023-04-05
