,advertiser_id,product_id,date
0,62FIK8F2YT8JSFDBLEC9,yvuie6,2023-04-05
1,62FIK8F2YT8JSFDBLEC9,xjvf92,2023-04-05
2,62FIK8F2YT8JSFDBLEC9,y3bop0,2023-04-05
3,62FIK8F2YT8JSFDBLEC9,w6jh03,2023-04-05
4,62FIK8F2YT8JSFDBLEC9,jb248f,2023-04-05
5,62FIK8F2YT8JSFDBLEC9,a9fx8r,2023-04-05
6,62FIK8F2YT8JSFDBLEC9,jb248f,2023-04-05
7,62FIK8F2YT8JSFDBLEC9,yusr3p,2023-04-05
8,62FIK8F2YT8JSFDBLEC9,ejomag,2023-04-05
9,62FIK8F2YT8JSFDBLEC9,bwp1oz,2023-04-05
10,62FIK8F2YT8JSFDBLEC9,y3bop0,2023-04-05
11,62FIK8F2YT8JSFDBLEC9,4130ef,2023-04-05
12,62FIK8F2YT8JSFDBLEC9,go26yw,2023-04-05
13,62FIK8F2YT8JSFDBLEC9,stxioe,2023-04-05
14,62FIK8F2YT8JSFDBLEC9,rfe8nl,2023-04-05
15,62FIK8F2YT8JSFDBLEC9,e829df,2023-04-05
16,62FIK8F2YT8JSFDBLEC9,1jvqaq,2023-04-05
17,62FIK8F2YT8JSFDBLEC9,mln1yj,2023-04-05
18,62FIK8F2YT8JSFDBLEC9,w1wf30,2023-04-05
19,62FIK8F2YT8JSFDBLEC9,ycd4hp,2023-04-05
20,62FIK8F2YT8JSFDBLEC9,5365mm,2023-04-05
21,62FIK8F2YT8JSFDBLEC9,djvcvp,2023-04-05
22,62FIK8F2YT8JSFDBLEC9,j886n4,2023-04-05
23,62FIK8F2YT8JSFDBLEC9,p8a3xn,2023-04-05
24,62FIK8F2YT8JSFDBLEC9,a9fx8r,2023-04-05
25,62FIK8F2YT8JSFDBLEC9,fc50gi,2023-04-05
26,62FIK8F2YT8JSFDBLEC9,j886n4,2023-04-05
27,62FIK8F2YT8JSFDBLEC9,phrzte,2023-04-05
28,62FIK8F2YT8JSFDBLEC9,w6jh03,2023-04-05
29,62FIK8F2YT8JSFDBLEC9,7fz717,2023-04-05
30,62FIK8F2YT8JSFDBLEC9,dslu5o,2023-04-05
31,62FIK8F2YT8JSFDBLEC9,ffpbxq,2023-04-05
32,62FIK8F2YT8JSFDBLEC9,fv7455,2023-04-05
33,62FIK8F2YT8JSFDBLEC9,5uqsrl,2023-04-05
34,62FIK8F2YT8JSFDBLEC9,pacgwu,2023-04-05
35,62FIK8F2YT8JSFDBLEC9,83k1nn,2023-04-05
36,62FIK8F2YT8JSFDBLEC9,w5hk47,2023-04-05
37,62FIK8F2YT8JSFDBLEC9,7fz717,2023-04-05
38,62FIK8F2YT8JSFDBLEC9,fjza28,2023-04-05
39,62FIK8F2YT8JSFDBLEC9,kvoa81,2023-04-05
40,62FIK8F2YT8JSFDBLEC9,reit4q,2023-04-05
41,62FIK8F2YT8JSFDBLEC9,rfe8nl,2023-04-05
42,62FIK8F2YT8JSFDBLEC9,ws5vfl,2023-04-05
43,62FIK8F2YT8JSFDBLEC9,cmjf2z,2023-04-05
44,62FIK8F2YT8JSFDBLEC9,i0459f,2023-04-05
45,62FIK8F2YT8JSFDBLEC9,rfe8nl,2023-04-05
46,62FIK8F2YT8JSFDBLEC9,4130ef,2023-04-05
47,62FIK8F2YT8JSFDBLEC9,z4kvly,2023-04-05
48,62FIK8F2YT8JSFDBLEC9,r5noiv,2023-04-05
49,62FIK8F2YT8JSFDBLEC9,djvcvp,2023-04-05
50,62FIK8F2YT8JSFDBLEC9,3w8khx,2023-04-05
51,62FIK8F2YT8JSFDBLEC9,djvcvp,2023-04-05
52,62FIK8F2YT8JSFDBLEC9,k3h605,2023-04-05
53,62FIK8F2YT8JSFDBLEC9,s0wxwf,2023-04-05
54,62FIK8F2YT8JSFDBLEC9,wkgv0x,2023-04-05
55,62FIK8F2YT8JSFDBLEC9,ycd4hp,2023-04-05
56,62FIK8F2YT8JSFDBLEC9,ih1owh,2023-04-05
57,62FIK8F2YT8JSFDBLEC9,yvuie6,2023-04-05
58,62FIK8F2YT8JSFDBLEC9,br4hr8,2023-04-05
59,62FIK8F2YT8JSFDBLEC9,y83czh,2023-04-05
60,62FIK8F2YT8JSFDBLEC9,cpr5bw,2023-04-05
61,62FIK8F2YT8JSFDBLEC9,spv9n5,2023-04-05
62,62FIK8F2YT8JSFDBLEC9,rfe8nl,2023-04-05
63,62FIK8F2YT8JSFDBLEC9,6tpe69,2023-04-05
64,62FIK8F2YT8JSFDBLEC9,upwmzv,2023-04-05
65,62FIK8F2YT8JSFDBLEC9,mln1yj,2023-04-05
66,62FIK8F2YT8JSFDBLEC9,cmjf2z,2023-04-05
67,62FIK8F2YT8JSFDBLEC9,pacgwu,2023-04-05
68,62FIK8F2YT8JSFDBLEC9,ektrp8,2023-04-05
69,62FIK8F2YT8JSFDBLEC9,ym03om,2023-04-05
70,62FIK8F2YT8JSFDBLEC9,reit4q,2023-04-05
71,62FIK8F2YT8JSFDBLEC9,ws5vfl,2023-04-05
72,62FIK8F2YT8JSFDBLEC9,p8a3xn,2023-04-05
73,62FIK8F2YT8JSFDBLEC9,ws5vfl,2023-04-05
74,62FIK8F2YT8JSFDBLEC9,ksce41,2023-04-05
75,62FIK8F2YT8JSFDBLEC9,phrzte,2023-04-05
76,62FIK8F2YT8JSFDBLEC9,29t9d4,2023-04-05
77,62FIK8F2YT8JSFDBLEC9,p8a3xn,2023-04-05
78,62FIK8F2YT8JSFDBLEC9,yvuie6,2023-04-05
79,62FIK8F2YT8JSFDBLEC9,3w8khx,2023-04-05
80,62FIK8F2YT8JSFDBLEC9,k3h605,2023-04-05
81,62FIK8F2YT8JSFDBLEC9,v1d2kq,2023-04-05
